GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externalskill.application.adapter.controller,ExternalSkillController,62,0,0,0,14,0,4,0,4,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externaluser.infrastructure.adapter.service,ExternalUserServiceConfig,6,0,0,0,1,0,1,0,1,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.common.testutils,BddLogger,0,22,0,0,0,10,0,5,0,5
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability,InteroperabilityApplication,8,0,0,0,3,0,2,0,2,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externalskill.casoc.domain.service,CasocServiceImpl,98,0,4,0,29,0,7,0,5,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.common.validation.infrastructure.adapter.utils,ValidationUtils,14,0,4,0,4,0,4,0,2,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externaluser.infrastructure.adapter.openapi,SwaggerSchema,29,0,0,0,8,0,1,0,1,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externaluser.infrastructure.adapter.openapi,OpenApiUserEnumConfiguration,15,0,0,0,7,0,3,0,3,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externalskill.rome.domain.service,RomeExternalSkillServiceImpl,7,148,0,8,3,41,0,10,0,6
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externalskill.rome.infrastructure.batch,ExternalSkillBatchScheduler,40,0,0,0,13,0,3,0,3,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externalskill.rome.infrastructure.batch,ExternalSkillBatchLoader.new JobExecutionListener() {...},73,0,16,0,17,0,12,0,4,0
